date,5YR
2017-07-12,1.50
2017-07-13,1.54
2017-07-14,1.51
2017-07-17,1.50
2017-07-18,1.48
2017-07-19,1.52
2017-07-20,1.51
2017-07-21,1.51
2017-07-24,1.56
2017-07-25,2.04
2017-07-26,1.58
2017-07-27,2.00
2017-07-28,2.04
2017-07-31,2.05
2017-08-01,1.56
2017-08-02,1.55
2017-08-03,1.51
2017-08-04,1.53
2017-08-08,1.55
2017-08-09,1.52
2017-08-10,1.47
2017-08-11,1.46
2017-08-14,1.48
2017-08-15,1.50
2017-08-16,1.49
2017-08-17,1.47
2017-08-18,1.49
2017-08-21,1.50
2017-08-22,1.53
2017-08-23,1.51
2017-08-24,1.55
2017-08-25,1.54
2017-08-28,1.53
2017-08-29,1.50
2017-08-30,1.51
2017-08-31,1.53
2017-09-01,1.59
2017-09-05,1.56
2017-09-06,2.06
2017-09-07,2.07
2017-09-08,2.11
2017-09-11,2.15
2017-09-12,2.16
2017-09-13,2.18
2017-09-14,2.18
2017-09-15,2.21
2017-09-18,2.19
2017-09-19,2.18
2017-09-20,2.20
2017-09-21,2.21
2017-09-22,2.21
2017-09-25,2.20
2017-09-26,2.21
2017-09-27,2.20
2017-09-28,2.18
2017-09-29,2.15
2017-10-02,2.18
2017-10-03,2.16
2017-10-04,2.17
2017-10-05,2.15
2017-10-06,2.18
2017-10-10,2.17
2017-10-11,2.17
2017-10-12,2.15
2017-10-13,2.12
2017-10-16,2.11
2017-10-17,2.10
2017-10-18,2.12
2017-10-19,2.10
2017-10-20,2.10
2017-10-23,2.09
2017-10-24,2.12
2017-10-25,2.10
2017-10-26,2.09
2017-10-27,2.06
2017-10-30,2.03
2017-10-31,2.02
2017-11-01,2.05
2017-11-02,2.04
2017-11-03,2.06
2017-11-06,2.03
2017-11-07,2.00
2017-11-08,2.02
2017-11-09,2.05
2017-11-10,2.08
2017-11-14,2.07
2017-11-15,2.03
2017-11-16,2.08
2017-11-17,2.06
2017-11-20,2.08
2017-11-21,2.05
2017-11-22,2.04
2017-11-23,2.02
2017-11-24,2.02
2017-11-27,2.01
2017-11-28,1.59
2017-11-29,2.02
2017-11-30,2.03
2017-12-01,2.09
2017-12-04,2.12
2017-12-05,2.10
2017-12-06,2.05
2017-12-07,2.05
2017-12-08,2.06
2017-12-11,2.07
2017-12-12,2.08
2017-12-13,2.05
2017-12-14,2.10
2017-12-15,2.06
2017-12-18,2.10
2017-12-19,2.15
2017-12-20,2.20
2017-12-21,2.26
2017-12-22,2.24
2017-12-27,2.22
2017-12-28,2.26
2017-12-29,2.26
2018-01-02,2.29
2018-01-03,2.26
2018-01-04,2.29
2018-01-05,2.37
2018-01-08,2.38
2018-01-09,2.01
2018-01-10,2.35
2018-01-11,2.36
2018-01-12,2.37
2018-01-15,2.39
2018-01-16,2.39
2018-01-17,2.00
2018-01-18,2.03
2018-01-19,2.02
2018-01-22,2.03
2018-01-23,2.03
2018-01-24,2.05
2018-01-25,2.04
2018-01-26,2.06
2018-01-29,2.07
2018-01-30,2.08
2018-01-31,2.08
2018-02-01,2.14
2018-02-02,2.13
2018-02-05,2.08
2018-02-06,2.11
2018-02-07,2.13
2018-02-08,2.11
2018-02-09,2.07
2018-02-12,2.06
2018-02-13,2.05
2018-02-14,2.10
2018-02-15,2.15
2018-02-16,2.11
2018-02-20,2.12
2018-02-21,2.14
2018-02-22,2.09
2018-02-23,2.05
2018-02-26,2.05
2018-02-27,2.08
2018-02-28,2.04
2018-03-01,2.39
