"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 11, 2022","15.14","15.20","15.55","15.02","2.81M","-2.32%"
"Jul 08, 2022","15.50","15.73","15.80","15.37","3.67M","-0.13%"
"Jul 07, 2022","15.52","15.12","15.77","15.08","4.21M","6.89%"
"Jul 06, 2022","14.52","14.97","15.18","13.83","6.34M","-3.84%"
"Jul 05, 2022","15.10","15.72","15.86","14.53","6.07M","-8.15%"
"Jul 04, 2022","16.44","16.58","16.77","15.50","2.79M","1.29%"
"Jun 30, 2022","16.23","16.21","16.69","15.82","4.36M","-2.52%"
"Jun 29, 2022","16.65","17.55","17.64","16.57","3.44M","-4.37%"
"Jun 28, 2022","17.41","16.50","17.53","16.38","5.85M","8.81%"
"Jun 27, 2022","16.00","15.31","16.08","15.22","7.96M","6.67%"
"Jun 24, 2022","15.00","15.16","15.55","14.97","7.76M","1.28%"
"Jun 23, 2022","14.81","16.68","16.89","14.55","9.20M","-10.41%"
"Jun 22, 2022","16.53","16.50","16.98","16.18","4.64M","-6.72%"
"Jun 21, 2022","17.72","17.86","18.15","17.52","3.41M","0.91%"
"Jun 20, 2022","17.56","17.17","17.60","16.93","1.75M","1.86%"
"Jun 17, 2022","17.24","18.42","18.72","16.99","10.79M","-6.71%"
"Jun 16, 2022","18.48","18.94","19.20","18.33","5.03M","-5.81%"
"Jun 15, 2022","19.62","19.72","20.25","19.18","3.86M","-0.41%"
"Jun 14, 2022","19.70","20.88","21.08","19.52","6.26M","-4.18%"
"Jun 13, 2022","20.56","20.40","20.94","19.69","4.12M","-3.16%"
"Jun 10, 2022","21.23","21.09","21.47","20.76","4.85M","-1.12%"
"Jun 09, 2022","21.47","21.77","21.97","21.44","3.92M","-3.03%"
"Jun 08, 2022","22.14","21.98","22.88","21.77","7.35M","1.10%"
"Jun 07, 2022","21.90","20.79","21.96","20.62","7.17M","5.34%"
"Jun 06, 2022","20.79","20.00","20.92","19.87","4.93M","4.47%"
"Jun 03, 2022","19.90","19.64","20.00","19.46","2.80M","1.38%"
"Jun 02, 2022","19.63","19.27","19.91","19.20","3.42M","0.98%"
"Jun 01, 2022","19.44","19.35","19.85","18.92","6.00M","2.05%"
"May 31, 2022","19.05","19.83","19.88","18.86","54.74M","-2.61%"
"May 30, 2022","19.56","19.29","19.62","19.20","3.20M","2.84%"
"May 27, 2022","19.02","18.54","19.18","18.50","4.17M","1.39%"
"May 26, 2022","18.76","19.00","19.40","18.64","5.85M","-0.58%"
"May 25, 2022","18.87","18.25","18.99","18.25","8.89M","3.62%"
"May 24, 2022","18.21","18.10","18.54","18.10","4.12M","1.68%"
"May 20, 2022","17.91","18.24","18.24","17.50","4.42M","0.79%"
"May 19, 2022","17.77","17.31","18.18","17.28","4.31M","0.79%"
"May 18, 2022","17.63","18.00","18.07","17.36","3.67M","-1.56%"
"May 17, 2022","17.91","17.47","18.00","17.16","5.02M","4.37%"
"May 16, 2022","17.16","16.85","17.59","16.82","4.69M","2.63%"
"May 13, 2022","16.72","16.55","17.00","16.40","5.38M","4.70%"
"May 12, 2022","15.97","15.79","16.27","15.34","4.76M","0.44%"
"May 11, 2022","15.90","16.01","16.75","15.84","5.65M","1.08%"
"May 10, 2022","15.73","15.90","16.24","15.27","7.34M","-1.38%"
"May 09, 2022","15.95","17.55","17.65","15.77","6.69M","-11.54%"
"May 06, 2022","18.03","17.50","18.39","17.50","7.65M","-4.45%"
"May 05, 2022","18.87","19.33","19.60","18.35","3.75M","-1.46%"
"May 04, 2022","19.15","18.69","19.19","18.20","5.77M","5.45%"
"May 03, 2022","18.16","17.28","18.18","17.23","4.09M","4.79%"
