"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 29, 2017","115.00","116.96","117.28","114.87","833.84K","0.36%"
"Dec 28, 2017","114.59","114.51","116.95","114.30","281.66K","-0.49%"
"Dec 27, 2017","115.16","113.61","115.48","113.42","336.67K","1.46%"
"Dec 26, 2017","113.50","113.03","114.76","112.05","167.52K","0.46%"
"Dec 22, 2017","112.98","112.28","113.05","111.54","151.52K","0.72%"
"Dec 21, 2017","112.17","110.46","112.85","110.29","257.80K","1.75%"
"Dec 20, 2017","110.24","109.26","110.47","108.10","311.47K","0.77%"
"Dec 19, 2017","109.40","109.38","110.21","108.20","432.62K","-0.09%"
"Dec 18, 2017","109.50","111.07","112.16","109.48","437.58K","-0.57%"
"Dec 15, 2017","110.13","111.59","111.89","109.63","547.53K","-1.37%"
"Dec 14, 2017","111.66","111.77","112.50","111.20","261.79K","-0.21%"
"Dec 13, 2017","111.90","111.03","113.25","111.03","383.36K","0.87%"
"Dec 12, 2017","110.93","107.74","111.81","107.56","540.51K","2.70%"
"Dec 11, 2017","108.01","106.02","108.31","106.01","185.85K","1.77%"
"Dec 08, 2017","106.13","106.66","106.66","105.82","277.17K","0.23%"
"Dec 07, 2017","105.89","104.42","106.15","104.05","290.22K","1.23%"
"Dec 06, 2017","104.60","105.82","107.90","104.47","328.28K","-1.53%"
"Dec 05, 2017","106.22","107.48","107.67","106.18","353.49K","-0.44%"
"Dec 04, 2017","106.69","110.23","110.23","106.42","467.91K","-2.94%"
"Dec 01, 2017","109.92","109.95","111.12","108.76","494.08K","-0.02%"
"Nov 30, 2017","109.94","108.64","110.09","108.52","494.12K","1.25%"
"Nov 29, 2017","108.58","108.80","109.08","108.28","296.62K","0.04%"
"Nov 28, 2017","108.54","107.09","108.87","107.09","224.35K","1.27%"
"Nov 27, 2017","107.18","108.61","108.86","107.07","172.04K","-1.42%"
"Nov 24, 2017","108.72","108.71","109.19","108.29","125.50K","-0.01%"
"Nov 22, 2017","108.73","108.78","109.00","108.09","156.41K","0.47%"
"Nov 21, 2017","108.22","106.69","108.78","106.63","203.97K","1.37%"
"Nov 20, 2017","106.76","106.47","107.50","106.47","188.70K","-0.09%"
"Nov 17, 2017","106.86","106.50","107.06","106.32","172.65K","0.06%"
"Nov 16, 2017","106.80","105.69","107.35","105.47","334.67K","1.65%"
"Nov 15, 2017","105.07","104.96","105.56","103.51","308.66K","-0.29%"
"Nov 14, 2017","105.38","106.27","107.04","105.09","254.37K","-1.17%"
"Nov 13, 2017","106.63","106.81","107.62","106.39","442.87K","-0.22%"
"Nov 10, 2017","106.87","106.69","108.10","106.69","275.15K","-0.32%"
"Nov 09, 2017","107.21","106.79","107.91","105.70","397.76K","0.18%"
"Nov 08, 2017","107.02","105.71","107.31","105.00","602.92K","-0.19%"
"Nov 07, 2017","107.22","106.98","108.50","105.83","336.32K","-0.57%"
"Nov 06, 2017","107.83","108.09","108.43","107.42","105.66K","-0.24%"
"Nov 03, 2017","108.09","108.31","108.89","107.34","171.12K","-0.21%"
"Nov 02, 2017","108.32","109.74","110.05","107.95","247.67K","-1.09%"
"Nov 01, 2017","109.51","110.02","110.25","108.99","279.03K","0.54%"
"Oct 31, 2017","108.92","108.97","109.33","108.23","300.52K","0.53%"
"Oct 30, 2017","108.35","107.29","108.75","106.99","239.37K","0.97%"
"Oct 27, 2017","107.31","107.97","108.24","106.00","510.66K","-1.01%"
"Oct 26, 2017","108.40","107.15","108.69","105.65","470.17K","-1.56%"
"Oct 25, 2017","110.12","110.08","110.57","108.47","301.00K","-0.33%"
"Oct 24, 2017","110.49","108.33","110.52","108.09","409.00K","2.50%"
"Oct 23, 2017","107.79","107.75","108.46","107.56","219.86K","0.13%"
"Oct 20, 2017","107.65","107.80","108.10","106.75","225.92K","-0.11%"
"Oct 19, 2017","107.77","107.41","108.15","107.20","112.43K","0.04%"
"Oct 18, 2017","107.73","107.25","107.92","106.41","269.32K","0.51%"
