"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 11, 2022","93.46","93.24","94.43","92.47","1.18M","-0.10%"
"Jul 08, 2022","93.55","93.24","93.70","92.33","1.01M","0.02%"
"Jul 07, 2022","93.53","93.19","93.73","91.61","2.19M","0.10%"
"Jul 06, 2022","93.44","92.22","94.10","92.06","1.59M","1.43%"
"Jul 05, 2022","92.12","91.38","92.44","90.15","1.60M","0.22%"
"Jul 04, 2022","91.92","90.11","92.50","90.00","434.51K","2.24%"
"Jun 30, 2022","89.91","89.99","90.15","88.70","1.70M","-1.77%"
"Jun 29, 2022","91.53","90.42","91.86","89.49","930.19K","1.41%"
"Jun 28, 2022","90.26","91.09","93.01","89.73","1.01M","-0.78%"
"Jun 27, 2022","90.97","92.06","92.10","90.18","1.41M","0.02%"
"Jun 24, 2022","90.95","87.76","91.43","87.61","1.53M","2.31%"
"Jun 23, 2022","88.90","91.03","91.86","88.85","1.18M","-2.39%"
"Jun 22, 2022","91.08","88.66","91.75","88.58","3.36M","1.45%"
"Jun 21, 2022","89.78","88.88","90.68","88.88","2.90M","0.54%"
"Jun 20, 2022","89.30","88.50","89.33","87.90","254.22K","1.63%"
"Jun 17, 2022","87.87","87.10","88.93","87.10","4.32M","0.42%"
"Jun 16, 2022","87.50","86.81","88.35","86.81","1.14M","-1.57%"
"Jun 15, 2022","88.90","89.53","90.20","88.24","1.15M","0.18%"
"Jun 14, 2022","88.74","90.00","90.10","87.54","1.51M","0.84%"
"Jun 13, 2022","88.00","87.45","88.72","86.42","1.80M","-1.23%"
"Jun 10, 2022","89.10","91.82","92.00","89.01","1.49M","-3.96%"
"Jun 09, 2022","92.77","92.90","94.20","92.60","564.81K","-0.53%"
"Jun 08, 2022","93.26","95.25","95.25","92.92","1.63M","-2.55%"
"Jun 07, 2022","95.70","94.32","95.81","93.42","1.13M","0.51%"
"Jun 06, 2022","95.21","95.03","95.92","94.71","1.29M","0.55%"
"Jun 03, 2022","94.69","95.16","95.67","93.99","1.20M","-1.43%"
"Jun 02, 2022","96.06","92.63","96.27","92.63","2.03M","3.88%"
"Jun 01, 2022","92.47","90.84","93.08","90.11","1.42M","2.46%"
"May 31, 2022","90.25","89.18","91.64","88.65","4.45M","0.06%"
"May 30, 2022","90.20","91.52","91.52","89.54","461.44K","-0.47%"
"May 27, 2022","90.63","89.70","91.23","89.64","1.26M","1.35%"
"May 26, 2022","89.42","87.87","89.71","87.80","1.18M","2.03%"
"May 25, 2022","87.64","87.80","88.17","86.61","1.23M","-0.23%"
"May 24, 2022","87.84","88.97","88.97","87.39","1.39M","-0.57%"
"May 20, 2022","88.34","87.96","88.63","87.26","1.40M","0.41%"
"May 19, 2022","87.98","88.30","89.59","86.58","1.67M","-2.29%"
"May 18, 2022","90.04","91.09","92.24","89.95","803.77K","-1.72%"
"May 17, 2022","91.62","90.82","91.66","90.43","915.08K","2.19%"
"May 16, 2022","89.66","89.54","90.28","88.60","739.41K","0.18%"
"May 13, 2022","89.50","89.77","90.33","88.62","893.45K","0.79%"
"May 12, 2022","88.80","88.94","89.56","87.65","1.93M","-0.53%"
"May 11, 2022","89.27","88.19","91.30","88.10","2.25M","0.71%"
"May 10, 2022","88.64","91.39","91.75","87.60","2.35M","-1.50%"
"May 09, 2022","89.99","92.02","92.68","89.84","1.10M","-3.53%"
"May 06, 2022","93.28","93.21","93.67","91.39","1.18M","-0.21%"
"May 05, 2022","93.48","95.43","95.63","92.40","920.97K","-2.32%"
"May 04, 2022","95.70","93.10","95.96","93.07","1.61M","3.00%"
"May 03, 2022","92.91","92.28","93.64","91.61","1.33M","0.40%"
"May 02, 2022","92.54","94.25","95.03","91.41","1.31M","-1.52%"
"Apr 29, 2022","93.97","95.44","95.46","93.84","1.73M","-2.78%"
"Apr 28, 2022","96.66","91.68","97.55","89.66","2.57M","3.59%"
"Apr 27, 2022","93.31","93.03","94.05","91.25","1.46M","0.27%"
"Apr 26, 2022","93.06","94.75","94.85","93.01","1.40M","-1.92%"
"Apr 25, 2022","94.88","94.48","95.35","93.63","1.17M","-0.06%"
"Apr 22, 2022","94.94","97.42","97.59","94.80","1.51M","-2.69%"
"Apr 21, 2022","97.56","98.25","99.74","97.30","1.60M","-0.29%"
"Apr 20, 2022","97.84","98.00","98.20","97.01","1.18M","-0.16%"
"Apr 19, 2022","98.00","96.29","98.09","96.29","923.84K","1.99%"
"Apr 18, 2022","96.09","96.11","97.47","95.78","713.95K","-0.28%"
"Apr 14, 2022","96.36","95.45","96.71","95.13","859.14K","1.51%"
"Apr 13, 2022","94.93","95.12","95.69","94.71","839.20K","0.42%"
"Apr 12, 2022","94.53","94.86","95.50","94.11","887.34K","-0.02%"
"Apr 11, 2022","94.55","93.80","95.30","93.72","814.13K","0.21%"
"Apr 08, 2022","94.35","95.00","95.58","93.10","1.45M","-1.77%"
"Apr 07, 2022","96.05","96.90","97.06","94.40","1.35M","-0.91%"
"Apr 06, 2022","96.93","97.00","97.19","95.53","1.07M","-0.44%"
"Apr 05, 2022","97.36","98.37","100.53","97.33","1.02M","-1.03%"
"Apr 04, 2022","98.37","98.12","98.52","96.92","1.03M","0.54%"
"Apr 01, 2022","97.84","103.20","103.83","97.25","2.03M","-5.18%"
"Mar 31, 2022","103.18","104.49","105.46","103.18","2.07M","-0.99%"
"Mar 30, 2022","104.21","102.30","104.41","102.30","1.07M","1.08%"
"Mar 29, 2022","103.10","103.96","104.18","101.39","1.21M","-0.54%"
"Mar 28, 2022","103.66","103.75","103.90","102.87","1.10M","0.33%"
"Mar 25, 2022","103.32","103.45","103.90","102.17","1.46M","0.46%"
"Mar 24, 2022","102.85","102.47","103.12","101.60","1.56M","0.29%"
"Mar 23, 2022","102.55","102.38","103.16","101.89","1.37M","-0.24%"
"Mar 22, 2022","102.80","101.75","103.39","101.63","1.78M","1.61%"
"Mar 21, 2022","101.17","99.89","101.30","99.45","2.08M","0.72%"
"Mar 18, 2022","100.45","100.89","101.56","100.35","7.15M","-0.44%"
"Mar 17, 2022","100.89","100.46","101.15","99.39","1.52M","0.11%"
