"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 11, 2022","9.02","8.97","9.18","8.83","4.40M","-1.42%"
"Jul 08, 2022","9.15","9.59","9.59","9.08","5.32M","-2.97%"
"Jul 07, 2022","9.43","8.89","9.58","8.89","8.89M","13.07%"
"Jul 06, 2022","8.34","8.69","8.90","7.87","8.36M","-5.66%"
"Jul 05, 2022","8.84","9.09","9.11","8.48","8.39M","-8.11%"
"Jul 04, 2022","9.62","9.41","9.71","9.35","3.00M","5.14%"
"Jun 30, 2022","9.15","9.10","9.47","8.92","7.21M","-2.35%"
"Jun 29, 2022","9.37","10.32","10.32","9.35","8.11M","-7.59%"
"Jun 28, 2022","10.14","10.02","10.23","9.79","9.85M","5.08%"
"Jun 27, 2022","9.65","9.31","9.66","9.10","6.08M","6.39%"
"Jun 24, 2022","9.07","9.01","9.38","8.84","7.16M","3.78%"
"Jun 23, 2022","8.74","9.91","9.91","8.70","10.89M","-11.09%"
"Jun 22, 2022","9.83","10.10","10.22","9.81","8.95M","-8.98%"
"Jun 21, 2022","10.80","10.76","11.01","10.56","7.24M","2.18%"
"Jun 20, 2022","10.57","10.20","10.58","10.20","3.33M","3.12%"
"Jun 17, 2022","10.25","10.98","11.14","10.11","15.83M","-7.32%"
"Jun 16, 2022","11.06","11.40","11.57","11.04","10.71M","-6.51%"
"Jun 15, 2022","11.83","11.99","12.21","11.58","8.67M","-1.50%"
"Jun 14, 2022","12.01","12.92","12.94","11.79","8.95M","-4.00%"
"Jun 13, 2022","12.51","12.42","12.84","11.95","10.43M","-4.58%"
"Jun 10, 2022","13.11","13.10","13.39","12.79","7.02M","-1.06%"
"Jun 09, 2022","13.25","13.29","13.46","13.04","6.38M","-1.56%"
"Jun 08, 2022","13.46","13.35","13.73","13.21","10.79M","3.46%"
"Jun 07, 2022","13.01","12.34","13.04","12.30","8.82M","5.34%"
"Jun 06, 2022","12.35","12.34","12.36","12.11","7.03M","2.24%"
"Jun 03, 2022","12.08","11.79","12.14","11.73","6.25M","2.20%"
"Jun 02, 2022","11.82","11.22","12.09","11.21","9.95M","3.96%"
"Jun 01, 2022","11.37","11.35","11.38","11.06","6.30M","1.52%"
"May 31, 2022","11.20","11.48","11.57","11.09","9.63M","-1.32%"
"May 30, 2022","11.35","11.34","11.47","11.33","3.27M","1.43%"
"May 27, 2022","11.19","10.90","11.23","10.81","4.97M","2.10%"
"May 26, 2022","10.96","11.08","11.09","10.81","5.78M","1.48%"
"May 25, 2022","10.80","10.35","10.88","10.35","7.96M","4.75%"
"May 24, 2022","10.31","9.80","10.31","9.76","9.08M","6.18%"
"May 20, 2022","9.71","9.89","10.03","9.47","7.36M","-0.51%"
"May 19, 2022","9.76","9.23","9.89","9.23","6.56M","1.88%"
"May 18, 2022","9.58","9.90","9.97","9.45","6.04M","-2.34%"
"May 17, 2022","9.81","9.77","9.97","9.71","7.49M","2.29%"
"May 16, 2022","9.59","9.21","9.74","9.21","8.33M","4.35%"
"May 13, 2022","9.19","9.05","9.31","9.01","6.87M","4.79%"
"May 12, 2022","8.77","8.65","8.79","8.39","7.24M","1.27%"
