"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 11, 2022","76.46","76.72","77.56","76.32","86.30K","-0.62%"
"Jul 08, 2022","76.94","77.97","78.21","76.87","107.65K","-1.00%"
"Jul 07, 2022","77.72","78.10","79.05","77.29","84.86K","0.28%"
"Jul 06, 2022","77.50","77.49","78.18","75.36","125.89K","-0.48%"
"Jul 05, 2022","77.87","78.47","79.64","76.30","139.46K","-1.47%"
"Jul 04, 2022","79.03","76.00","79.27","76.00","60.87K","3.17%"
"Jun 30, 2022","76.60","79.36","79.69","76.45","117.77K","-4.20%"
"Jun 29, 2022","79.96","81.62","82.32","79.25","117.20K","-1.34%"
"Jun 28, 2022","81.05","82.42","82.51","80.82","99.16K","-1.41%"
"Jun 27, 2022","82.21","82.43","83.10","81.45","110.27K","-0.68%"
"Jun 24, 2022","82.77","81.45","83.13","80.33","123.44K","1.40%"
"Jun 23, 2022","81.63","83.55","84.76","80.78","107.40K","-2.30%"
"Jun 22, 2022","83.55","84.14","85.75","83.55","111.10K","-0.74%"
"Jun 21, 2022","84.17","82.83","84.92","82.41","98.43K","1.28%"
"Jun 20, 2022","83.11","83.01","83.72","82.78","41.15K","0.12%"
"Jun 17, 2022","83.01","83.66","84.28","81.95","129.65K","-0.80%"
"Jun 16, 2022","83.68","80.53","83.99","80.27","131.15K","3.58%"
"Jun 15, 2022","80.79","83.42","83.42","79.71","129.59K","-1.17%"
"Jun 14, 2022","81.75","83.78","83.78","80.89","69.94K","-1.87%"
"Jun 13, 2022","83.31","83.24","85.25","82.57","185.80K","-2.42%"
"Jun 10, 2022","85.38","81.01","86.01","80.41","139.06K","4.13%"
"Jun 09, 2022","81.99","83.94","84.19","81.87","147.89K","-2.71%"
"Jun 08, 2022","84.27","85.26","85.50","84.22","86.59K","-1.59%"
"Jun 07, 2022","85.63","85.06","85.87","84.54","125.17K","0.32%"
"Jun 06, 2022","85.36","85.70","85.95","84.39","84.96K","-0.08%"
"Jun 03, 2022","85.43","85.56","86.54","85.12","84.84K","-1.24%"
"Jun 02, 2022","86.50","86.36","87.31","85.95","113.97K","1.63%"
"Jun 01, 2022","85.11","85.89","85.89","84.26","149.24K","-0.87%"
"May 31, 2022","85.86","86.92","88.45","85.03","220.21K","-1.78%"
"May 30, 2022","87.42","87.48","87.58","87.11","13.42K","-0.01%"
