"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 05, 2021","6.76","6.47","6.91","6.47","15.72M","5.13%"
"Jan 04, 2021","6.43","6.35","6.54","6.33","2.21M","2.06%"
"Dec 31, 2020","6.30","6.36","6.51","6.23","7.67M","-1.25%"
"Dec 30, 2020","6.38","6.37","6.55","6.34","1.22M","0.16%"
"Dec 29, 2020","6.37","6.21","6.42","6.21","2.01M","1.59%"
"Dec 24, 2020","6.27","6.25","6.28","6.11","524.06K","0.16%"
"Dec 23, 2020","6.26","6.02","6.26","5.99","1.90M","4.16%"
"Dec 22, 2020","6.01","6.09","6.11","5.97","1.75M","-1.80%"
"Dec 21, 2020","6.12","5.60","6.14","5.60","2.04M","-2.86%"
"Dec 18, 2020","6.30","6.21","6.42","6.20","1.63M","0.96%"
"Dec 17, 2020","6.24","6.25","6.27","6.07","1.58M","0.48%"
"Dec 16, 2020","6.21","6.40","6.47","6.08","3.04M","-3.87%"
"Dec 15, 2020","6.46","6.50","6.57","6.31","3.56M","-0.15%"
"Dec 14, 2020","6.47","6.62","6.69","6.38","2.10M","-0.61%"
"Dec 11, 2020","6.51","6.60","6.64","6.38","1.71M","0.00%"
"Dec 10, 2020","6.51","6.25","6.53","6.18","3.22M","5.00%"
"Dec 09, 2020","6.20","6.25","6.34","6.08","2.44M","0.81%"
"Dec 08, 2020","6.15","5.85","6.18","5.84","2.32M","3.89%"
"Dec 07, 2020","5.92","5.80","6.03","5.70","2.44M","0.51%"
"Dec 04, 2020","5.89","5.71","5.92","5.70","2.34M","5.37%"
"Dec 03, 2020","5.59","5.52","5.68","5.42","1.85M","1.64%"
"Dec 02, 2020","5.50","5.20","5.65","5.18","2.76M","4.76%"
"Dec 01, 2020","5.25","5.34","5.47","5.20","1.77M","-0.38%"
"Nov 30, 2020","5.27","5.55","5.58","5.26","2.35M","-7.71%"
"Nov 27, 2020","5.71","5.63","5.72","5.57","1.58M","0.88%"
"Nov 26, 2020","5.66","5.60","5.74","5.58","932.37K","-0.70%"
"Nov 25, 2020","5.70","5.78","5.78","5.57","2.36M","-1.38%"
"Nov 24, 2020","5.78","5.61","5.89","5.60","4.02M","5.09%"
"Nov 23, 2020","5.50","5.01","5.50","5.01","3.28M","10.66%"
"Nov 20, 2020","4.97","4.87","5.02","4.78","1.64M","2.47%"
"Nov 19, 2020","4.85","4.80","4.89","4.77","2.05M","-0.61%"
"Nov 18, 2020","4.88","5.01","5.14","4.87","3.48M","-0.81%"
"Nov 17, 2020","4.92","4.67","4.94","4.63","3.96M","3.80%"
"Nov 16, 2020","4.74","4.64","4.76","4.64","1.83M","5.33%"
"Nov 13, 2020","4.50","4.27","4.52","4.27","1.78M","4.65%"
"Nov 12, 2020","4.30","4.49","4.58","4.25","2.48M","-6.11%"
"Nov 11, 2020","4.58","4.57","4.64","4.55","1.56M","1.33%"
"Nov 10, 2020","4.52","4.45","4.58","4.34","2.44M","1.35%"
"Nov 09, 2020","4.46","3.93","4.53","3.93","6.17M","21.53%"
"Nov 06, 2020","3.67","3.67","3.78","3.67","1.61M","-2.13%"
"Nov 05, 2020","3.75","3.80","3.85","3.71","2.01M","-0.27%"
"Nov 04, 2020","3.76","3.74","3.80","3.58","3.19M","1.35%"
"Nov 03, 2020","3.71","3.62","3.74","3.61","1.89M","4.51%"
"Nov 02, 2020","3.55","3.48","3.58","3.42","2.75M","3.50%"
"Oct 30, 2020","3.43","3.46","3.48","3.33","6.09M","-2.00%"
"Oct 29, 2020","3.50","3.37","3.51","3.28","14.34M","-1.96%"
"Oct 28, 2020","3.57","3.68","3.70","3.54","15.41M","-6.30%"
"Oct 27, 2020","3.81","3.59","3.84","3.58","5.22M","7.32%"
"Oct 26, 2020","3.55","3.60","3.63","3.32","12.45M","11.99%"
"Oct 23, 2020","3.17","3.20","3.26","3.14","2.20M","0.32%"
"Oct 22, 2020","3.16","3.06","3.18","3.05","1.53M","3.61%"
"Oct 21, 2020","3.05","3.12","3.17","3.04","1.47M","-2.87%"
"Oct 20, 2020","3.14","3.10","3.18","3.07","1.14M","1.29%"
"Oct 19, 2020","3.10","3.14","3.24","3.08","1.81M","-0.64%"
"Oct 16, 2020","3.12","3.15","3.24","3.10","2.42M","-2.19%"
"Oct 15, 2020","3.19","3.16","3.27","3.14","1.95M","-1.85%"
"Oct 14, 2020","3.25","3.32","3.37","3.21","1.99M","-1.22%"
"Oct 13, 2020","3.29","3.32","3.37","3.28","2.65M","-2.37%"
"Oct 09, 2020","3.37","3.38","3.41","3.28","2.11M","0.00%"
"Oct 08, 2020","3.37","3.20","3.41","3.17","2.60M","6.98%"
"Oct 07, 2020","3.15","3.12","3.18","3.11","2.11M","1.29%"
"Oct 06, 2020","3.11","3.19","3.22","3.06","2.18M","-0.32%"
