"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 11, 2022","71.00","72.66","72.84","70.86","48.20K","-2.59%"
"Jul 08, 2022","72.89","73.42","74.05","72.45","28.03K","-0.36%"
"Jul 07, 2022","73.15","70.95","73.18","70.95","68.64K","6.06%"
"Jul 06, 2022","68.97","71.58","71.58","68.58","112.13K","-3.50%"
"Jul 05, 2022","71.47","70.54","71.48","68.40","71.51K","1.53%"
"Jul 04, 2022","70.39","70.88","71.04","70.15","25.67K","-0.31%"
"Jun 30, 2022","70.61","71.21","71.29","69.09","53.91K","-3.64%"
"Jun 29, 2022","73.28","74.14","74.14","72.51","51.49K","-1.81%"
"Jun 28, 2022","74.63","75.30","76.97","74.58","45.93K","-0.36%"
"Jun 27, 2022","74.90","74.85","75.60","74.25","28.64K","0.39%"
"Jun 24, 2022","74.61","73.61","74.65","73.21","35.28K","2.07%"
"Jun 23, 2022","73.10","73.40","73.59","72.32","36.24K","0.27%"
"Jun 22, 2022","72.90","72.47","74.69","72.47","42.67K","-0.99%"
"Jun 21, 2022","73.63","74.37","74.37","73.25","46.49K","-0.12%"
"Jun 20, 2022","73.72","72.95","73.90","72.80","25.62K","3.12%"
"Jun 17, 2022","71.49","71.94","73.01","71.10","70.00K","1.22%"
"Jun 16, 2022","70.63","74.34","74.41","69.77","142.32K","-8.11%"
"Jun 15, 2022","76.86","75.28","77.34","74.79","76.01K","3.68%"
"Jun 14, 2022","74.13","74.90","75.95","74.00","63.39K","-0.36%"
"Jun 13, 2022","74.40","76.51","76.82","74.36","66.66K","-4.99%"
"Jun 10, 2022","78.31","80.55","81.61","78.31","62.57K","-4.49%"
"Jun 09, 2022","81.99","82.71","83.70","81.99","41.74K","-1.82%"
"Jun 08, 2022","83.51","82.78","84.26","82.78","65.94K","0.43%"
"Jun 07, 2022","83.15","82.84","83.17","82.16","42.22K","-1.05%"
"Jun 06, 2022","84.03","81.90","84.28","81.87","65.16K","4.32%"
"Jun 03, 2022","80.55","81.50","81.73","80.31","52.72K","-3.32%"
"Jun 02, 2022","83.32","82.85","83.81","82.69","46.28K","2.32%"
"Jun 01, 2022","81.43","82.10","82.69","80.52","45.64K","-0.80%"
"May 31, 2022","82.09","81.66","83.66","81.00","61.66K","-0.75%"
"May 30, 2022","82.71","81.49","83.01","81.49","27.49K","1.67%"
"May 27, 2022","81.35","80.89","81.49","80.70","51.04K","1.51%"
"May 26, 2022","80.14","79.63","81.50","79.38","51.15K","1.61%"
"May 25, 2022","78.87","77.08","79.60","77.08","35.81K","2.00%"
"May 24, 2022","77.32","78.36","78.60","77.07","52.65K","-1.94%"
"May 20, 2022","78.85","81.47","81.63","77.32","48.40K","-1.85%"
"May 19, 2022","80.34","79.37","81.81","78.92","123.53K","1.38%"
"May 18, 2022","79.25","79.82","81.04","78.81","57.27K","-2.27%"
"May 17, 2022","81.09","78.72","81.11","78.72","49.01K","5.28%"
"May 16, 2022","77.02","77.12","77.68","76.37","35.93K","-1.58%"
"May 13, 2022","78.26","76.21","78.48","76.05","76.45K","5.81%"
"May 12, 2022","73.96","72.60","74.70","71.90","69.34K","0.79%"
"May 11, 2022","73.38","74.73","76.62","73.05","52.44K","-1.85%"
"May 10, 2022","74.76","77.00","78.99","73.66","63.43K","-0.13%"
"May 09, 2022","74.86","76.03","77.02","74.78","37.07K","-2.79%"
"May 06, 2022","77.01","77.16","77.44","75.39","48.63K","0.14%"
"May 05, 2022","76.90","79.10","79.25","76.27","46.41K","-3.86%"
"May 04, 2022","79.99","78.12","80.05","77.33","61.00K","1.52%"
"May 03, 2022","78.79","78.03","79.77","77.21","68.62K","0.73%"
"May 02, 2022","78.22","77.00","78.46","74.38","53.27K","0.99%"
"Apr 29, 2022","77.45","77.81","80.11","76.97","148.44K","-3.15%"
"Apr 28, 2022","79.97","79.95","80.55","78.06","43.06K","2.22%"
"Apr 27, 2022","78.23","76.80","78.85","76.72","67.93K","2.80%"
"Apr 26, 2022","76.10","78.42","78.54","76.00","61.23K","-4.28%"
"Apr 25, 2022","79.50","77.21","79.60","76.45","56.48K","1.70%"
"Apr 22, 2022","78.17","76.99","79.17","76.99","71.89K","-2.66%"
"Apr 21, 2022","80.31","82.71","83.33","80.31","51.38K","-0.89%"
"Apr 20, 2022","81.03","80.99","81.40","79.61","115.06K","1.00%"
"Apr 19, 2022","80.23","77.79","80.24","77.72","47.79K","3.83%"
"Apr 18, 2022","77.27","76.53","77.54","76.08","44.63K","0.89%"
"Apr 14, 2022","76.59","77.91","78.06","76.54","38.02K","-0.97%"
"Apr 13, 2022","77.34","77.25","77.71","76.76","46.37K","0.76%"
"Apr 12, 2022","76.76","77.91","78.33","76.43","44.55K","-0.49%"
"Apr 11, 2022","77.14","76.66","79.30","76.47","58.13K","0.25%"
