"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 11, 2022","98.48","98.21","99.43","97.88","977.64K","-0.35%"
"Jul 08, 2022","98.83","100.29","100.76","97.35","1.64M","-1.06%"
"Jul 07, 2022","99.89","98.65","100.74","98.46","1.44M","3.29%"
"Jul 06, 2022","96.71","96.97","98.01","93.71","1.89M","-0.68%"
"Jul 05, 2022","97.37","99.73","99.73","95.33","3.47M","-4.87%"
"Jul 04, 2022","102.35","102.14","103.18","101.61","688.94K","-0.16%"
"Jun 30, 2022","102.51","104.38","104.39","101.81","1.99M","-3.44%"
"Jun 29, 2022","106.16","109.22","109.77","106.05","1.29M","-2.61%"
"Jun 28, 2022","109.00","113.53","114.35","108.16","1.47M","1.10%"
"Jun 27, 2022","107.81","104.78","108.05","103.13","3.02M","4.21%"
"Jun 24, 2022","103.45","103.45","106.02","101.95","1.71M","0.89%"
"Jun 23, 2022","102.54","112.06","112.34","102.44","2.20M","-8.21%"
"Jun 22, 2022","111.71","108.08","112.36","107.70","2.07M","0.19%"
"Jun 21, 2022","111.50","110.67","113.16","110.61","1.63M","-0.49%"
"Jun 20, 2022","112.05","108.08","113.72","108.08","776.65K","3.58%"
"Jun 17, 2022","108.18","110.51","112.09","107.75","4.33M","-1.90%"
"Jun 16, 2022","110.27","110.97","113.63","109.64","1.73M","-2.75%"
"Jun 15, 2022","113.39","114.19","115.24","112.07","1.63M","0.35%"
"Jun 14, 2022","113.00","110.14","114.75","109.93","1.82M","4.04%"
"Jun 13, 2022","108.61","108.24","111.46","107.82","2.52M","-1.63%"
"Jun 10, 2022","110.41","113.00","115.30","110.00","2.38M","-2.56%"
"Jun 09, 2022","113.31","111.77","114.89","109.67","2.05M","2.18%"
"Jun 08, 2022","110.89","110.82","113.27","109.26","2.39M","-1.08%"
"Jun 07, 2022","112.10","114.71","115.00","111.19","2.37M","-3.39%"
"Jun 06, 2022","116.03","118.11","118.79","115.15","1.42M","-1.46%"
"Jun 03, 2022","117.75","119.51","119.82","117.46","1.12M","-2.36%"
"Jun 02, 2022","120.60","119.69","122.95","119.38","1.17M","0.84%"
"Jun 01, 2022","119.59","124.27","124.53","119.48","1.42M","-3.25%"
"May 31, 2022","123.61","120.78","125.73","120.00","5.50M","3.53%"
"May 30, 2022","119.39","121.63","122.60","119.11","722.31K","-1.79%"
"May 27, 2022","121.57","121.20","122.59","118.75","3.01M","-0.78%"
"May 26, 2022","122.53","125.46","125.94","121.55","2.18M","-2.71%"
"May 25, 2022","125.94","126.55","127.50","124.18","1.07M","-1.01%"
"May 24, 2022","127.22","126.06","128.79","125.61","1.13M","2.15%"
"May 20, 2022","124.54","131.55","131.98","122.68","1.52M","-4.09%"
"May 19, 2022","129.85","128.81","131.75","128.50","1.05M","-0.67%"
"May 18, 2022","130.72","133.12","134.19","130.17","845.48K","-2.12%"
"May 17, 2022","133.55","132.20","133.93","129.88","1.07M","2.53%"
"May 16, 2022","130.25","129.64","131.67","127.63","1.10M","1.85%"
"May 13, 2022","127.88","127.18","130.39","126.83","1.25M","2.77%"
"May 12, 2022","124.43","124.42","125.69","121.33","1.54M","-1.38%"
"May 11, 2022","126.17","123.15","129.20","123.05","1.79M","2.74%"
"May 10, 2022","122.81","124.17","128.76","121.66","1.86M","1.62%"
"May 09, 2022","120.85","129.96","130.41","120.25","1.80M","-9.60%"
"May 06, 2022","133.68","132.15","134.34","129.14","1.37M","0.63%"
"May 05, 2022","132.84","137.72","137.81","131.11","1.47M","-2.80%"
"May 04, 2022","136.67","136.66","138.13","133.76","1.63M","0.86%"
